px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.65782	-9.59641	-2.77557	1.96329	-0.133046	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.928168	L
9.72419	-9.73388	-2.81389	1.96748	-0.115913	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.0456	R
9.74249	-9.88775	-2.82328	1.93095	-0.146709	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.710613	L
9.75691	-10.0246	-2.75327	1.88886	-0.194139	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.81598	R
9.78992	-10.1673	-2.74672	1.87013	-0.202383	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.185479	L
9.82899	-10.3035	-2.74618	1.85603	-0.208247	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.497596	R
9.83769	-10.4507	-2.75309	1.82235	-0.231326	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.446628	L
9.88066	-10.5971	-2.77148	1.81951	-0.215469	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.901611	R
9.90043	-10.7512	-2.7735	1.79515	-0.227852	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.148385	L
9.90554	-10.8949	-2.72821	1.75456	-0.268002	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.04713	R
9.90817	-11.0486	-2.72972	1.72295	-0.28471	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.305999	L
9.92467	-11.183	-2.72944	1.70711	-0.285979	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0684826	R
9.9166	-11.3304	-2.73906	1.6734	-0.304844	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.330808	L
9.93063	-11.4703	-2.74697	1.65954	-0.30185	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0887575	R
9.9138	-11.6182	-2.75668	1.62395	-0.321727	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.411221	L
9.84384	-11.7408	-2.65629	1.52171	-0.448097	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	15.6132	R
9.81682	-11.8729	-2.65502	1.48672	-0.460502	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.29621	L
9.79504	-12.0024	-2.64837	1.45534	-0.471536	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.161604	R
9.74803	-12.1429	-2.66083	1.41057	-0.491735	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.52819	L
9.68185	-12.2679	-2.62534	1.33171	-0.571576	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	4.89222	R
9.62794	-12.3916	-2.62421	1.28922	-0.585122	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.444879	L
9.51186	-12.4965	-2.57348	1.16578	-0.720988	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	11.5503	R
9.43942	-12.6075	-2.57061	1.11654	-0.733823	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.504462	L
9.36183	-12.7292	-2.5662	1.05982	-0.75736	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.298956	R
9.278	-12.8385	-2.5563	1.00894	-0.7669	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.479728	L
9.10693	-12.9153	-2.53846	0.834364	-0.965952	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	22.0551	R
8.98235	-13.0038	-2.55371	0.761965	-0.987427	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.23945	L
8.83465	-13.0804	-2.5629	0.651266	-1.06738	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	3.17223	R
8.71125	-13.1446	-2.54965	0.582289	-1.07845	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.657737	L
8.56017	-13.1929	-2.57359	0.468108	-1.16606	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	3.88571	R
8.42838	-13.2346	-2.57319	0.39688	-1.17801	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.592423	L
8.24231	-13.2532	-2.62088	0.252419	-1.29434	8.22926	-13.1698	8.2	-13.15	-2.72741	0	7.26034	R
8.09136	-13.2636	-2.61299	0.166858	-1.30873	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.825449	L
7.9326	-13.2656	-2.62807	0.0707084	-1.34123	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.09327	R
7.7861	-13.253	-2.61825	-0.0137481	-1.35267	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.436111	L
7.70044	-13.2848	-2.5294	-0.00899677	-1.24367	7.66145	-13.3079	7.6	-13.2	-2.9979	-0.999304	8.80262	R
